,Date,Close,Predicted
0,2019-03-27,353.369995,362.29895
1,2019-03-28,354.609985,355.3332
2,2019-03-29,356.559998,356.29633
3,2019-04-01,366.959991,358.4596
4,2019-04-02,367.720001,367.84863
5,2019-04-03,369.75,369.26678
6,2019-04-04,367.880005,370.87567
7,2019-04-05,365.48999,369.09845
8,2019-04-08,361.410004,367.0311
9,2019-04-09,364.709991,363.18604
10,2019-04-10,363.920013,366.3159
11,2019-04-11,367.649994,365.81424
12,2019-04-12,351.140015,369.05814
13,2019-04-15,348.869995,353.46317
14,2019-04-16,359.459991,350.10074
15,2019-04-17,354.73999,360.73553
16,2019-04-18,360.350006,357.08478
17,2019-04-22,377.339996,361.34613
18,2019-04-23,381.890015,378.0137
19,2019-04-24,374.230011,383.11328
20,2019-04-25,368.329987,375.46924
21,2019-04-26,374.850006,369.71613
22,2019-04-29,371.829987,376.0611
23,2019-04-30,370.540009,374.0242
24,2019-05-01,378.809998,372.5026
25,2019-05-02,379.059998,380.14612
26,2019-05-03,385.029999,380.7877
27,2019-05-06,378.670013,386.1631
28,2019-05-07,370.459991,380.70892
29,2019-05-08,364.369995,372.32553
30,2019-05-09,362.75,366.2256
31,2019-05-10,361.040009,364.92593
32,2019-05-13,345.26001,363.21573
33,2019-05-14,345.609985,347.8642
34,2019-05-15,354.98999,346.95978
35,2019-05-16,359.309998,356.3399
36,2019-05-17,354.450012,360.9811
37,2019-05-20,348.109985,355.9477
38,2019-05-21,354.269989,349.3749
39,2019-05-22,359.730011,355.02902
40,2019-05-23,352.209991,361.1656
41,2019-05-24,354.390015,354.24197
42,2019-05-28,355.059998,355.38846
43,2019-05-29,349.190002,356.40186
44,2019-05-30,351.850006,350.829
45,2019-05-31,343.279999,353.05984
46,2019-06-03,336.630005,345.33902
47,2019-06-04,353.399994,338.07455
48,2019-06-05,355.730011,353.98648
49,2019-06-06,357.130005,357.6233
50,2019-06-07,360.869995,358.06354
51,2019-06-10,352.01001,361.60623
52,2019-06-11,351.269989,353.58258
53,2019-06-12,345.559998,352.22266
54,2019-06-13,343.429993,347.53452
55,2019-06-14,339.730011,345.1333
56,2019-06-17,350.619995,341.3237
57,2019-06-18,357.119995,351.61737
58,2019-06-19,363.519989,358.35004
59,2019-06-20,365.209991,364.3698
60,2019-06-21,369.209991,366.10004
61,2019-06-24,371.040009,369.99417
62,2019-06-25,360.299988,372.16888
63,2019-06-26,362.200012,362.2502
64,2019-06-27,370.019989,363.44562
65,2019-06-28,367.320007,371.5041
66,2019-07-01,374.600006,369.36386
67,2019-07-02,375.429993,375.64044
68,2019-07-03,381.720001,377.0413
69,2019-07-05,380.549988,382.75702
70,2019-07-08,376.160004,382.14908
71,2019-07-09,379.929993,378.00757
72,2019-07-10,381.0,381.27185
73,2019-07-11,379.5,382.93307
74,2019-07-12,373.25,381.4365
75,2019-07-15,366.600006,375.25827
76,2019-07-16,365.98999,368.5999
77,2019-07-17,362.440002,367.7654
78,2019-07-18,325.209991,364.68143
79,2019-07-19,315.100006,328.79407
80,2019-07-22,310.619995,316.7086
81,2019-07-23,307.299988,313.14905
82,2019-07-24,317.940002,309.831
83,2019-07-25,326.459991,319.0861
84,2019-07-26,335.779999,327.42422
85,2019-07-29,332.700012,335.56982
86,2019-07-30,325.929993,333.00198
87,2019-07-31,322.98999,326.60175
88,2019-08-01,319.5,323.60138
89,2019-08-02,318.829987,320.76437
90,2019-08-05,307.630005,320.02542
91,2019-08-06,310.100006,309.2177
92,2019-08-07,304.290009,310.64716
93,2019-08-08,315.899994,305.4866
94,2019-08-09,308.929993,316.09494
95,2019-08-12,310.829987,310.15405
96,2019-08-13,312.279999,311.02933
97,2019-08-14,299.109985,312.56604
98,2019-08-15,295.76001,300.3303
99,2019-08-16,302.799988,296.15393
100,2019-08-19,309.380005,303.31464
101,2019-08-20,298.98999,310.01993
102,2019-08-21,297.809998,299.88666
103,2019-08-22,296.929993,297.8743
104,2019-08-23,291.440002,297.25244
105,2019-08-26,294.980011,292.1966
106,2019-08-27,291.029999,295.32083
107,2019-08-28,291.769989,291.90317
108,2019-08-29,296.779999,291.87436
109,2019-08-30,293.75,296.77313
110,2019-09-03,289.290009,294.33575
111,2019-09-04,291.519989,289.49188
112,2019-09-05,293.25,291.5702
113,2019-09-06,290.170013,293.59366
114,2019-09-09,294.339996,290.5912
115,2019-09-10,287.98999,294.32938
116,2019-09-11,288.269989,288.58264
117,2019-09-12,288.859985,288.23538
118,2019-09-13,294.149994,289.14603
119,2019-09-16,294.290009,294.29727
120,2019-09-17,298.600006,294.5083
121,2019-09-18,291.559998,298.4848
122,2019-09-19,286.600006,291.98578
123,2019-09-20,270.75,286.77097
124,2019-09-23,265.920013,271.82062
125,2019-09-24,254.589996,266.56903
126,2019-09-25,264.75,255.98964
127,2019-09-26,263.309998,264.93097
128,2019-09-27,263.079987,264.1254
129,2019-09-30,267.619995,263.11032
130,2019-10-01,269.579987,267.07315
131,2019-10-02,268.029999,269.41656
132,2019-10-03,268.149994,267.8697
133,2019-10-04,272.790009,267.99933
134,2019-10-07,274.459991,272.57907
135,2019-10-08,270.720001,274.34683
136,2019-10-09,267.529999,270.8249
137,2019-10-10,280.480011,267.504
138,2019-10-11,282.929993,279.7951
139,2019-10-14,285.529999,283.12213
140,2019-10-15,284.25,285.25513
141,2019-10-16,286.279999,284.05453
142,2019-10-17,293.350006,285.9827
143,2019-10-18,275.299988,293.01022
144,2019-10-21,278.049988,276.52048
145,2019-10-22,266.690002,277.67886
146,2019-10-23,271.269989,267.72055
147,2019-10-24,271.5,271.35205
148,2019-10-25,276.820007,271.9819
149,2019-10-28,281.859985,276.91687
150,2019-10-29,281.209991,281.44046
151,2019-10-30,291.450012,281.1021
152,2019-10-31,287.410004,290.68396
153,2019-11-01,286.809998,287.6641
154,2019-11-04,292.859985,286.67474
155,2019-11-05,288.029999,292.5851
156,2019-11-06,288.589996,288.651
157,2019-11-07,289.570007,288.49548
158,2019-11-08,291.570007,289.78857
159,2019-11-11,294.179993,291.73865
160,2019-11-12,292.01001,294.1546
161,2019-11-13,283.109985,292.36087
162,2019-11-14,289.619995,283.54547
163,2019-11-15,295.029999,289.317
164,2019-11-18,302.570007,295.38092
165,2019-11-19,302.600006,302.5755
166,2019-11-20,305.160004,302.7053
167,2019-11-21,311.690002,304.92288
168,2019-11-22,310.480011,311.37625
169,2019-11-25,315.549988,310.9415
170,2019-11-26,312.48999,315.6098
171,2019-11-27,315.929993,313.10788
172,2019-11-29,314.660004,316.08582
173,2019-12-02,309.98999,315.2376
174,2019-12-03,306.160004,310.78088
175,2019-12-04,304.320007,306.7621
176,2019-12-05,302.859985,305.0501
177,2019-12-06,307.350006,303.6262
178,2019-12-09,302.5,307.78592
179,2019-12-10,293.119995,303.3885
180,2019-12-11,298.929993,293.79034
181,2019-12-12,298.440002,298.9054
182,2019-12-13,298.5,299.27124
183,2019-12-16,304.209991,298.93704
184,2019-12-17,315.480011,304.26492
185,2019-12-18,320.799988,315.3602
186,2019-12-19,332.220001,320.79352
187,2019-12-20,336.899994,331.86694
188,2019-12-23,333.100006,337.036
189,2019-12-24,333.200012,333.4749
190,2019-12-26,332.630005,333.51392
191,2019-12-27,329.089996,333.574
192,2019-12-30,323.309998,330.25833
193,2019-12-31,323.570007,324.54706
194,2020-01-02,329.809998,324.55316
195,2020-01-03,325.899994,330.57132
196,2020-01-06,335.829987,327.16534
197,2020-01-07,330.75,336.06964
198,2020-01-08,339.26001,331.91672
199,2020-01-09,335.660004,339.4147
200,2020-01-10,329.049988,336.77963
201,2020-01-13,338.920013,330.2047
202,2020-01-14,338.690002,339.19824
203,2020-01-15,339.070007,340.1545
204,2020-01-16,338.619995,339.96774
205,2020-01-17,339.670013,339.5073
206,2020-01-21,338.109985,340.641
207,2020-01-22,326.0,339.10306
208,2020-01-23,349.600006,327.67465
209,2020-01-24,353.160004,349.49252
210,2020-01-27,342.880005,354.7637
211,2020-01-28,348.519989,344.20035
